RIGHT | blinky1008
RIGHT | blinky1004
RIGHT | blinky1005
 DOWN | preston_wilson
RIGHT | onlylosers..
 LEFT | freakoutpa..
 DOWN | gabriel10293
   UP | flyerhm
RIGHT | freakoutpa..
 DOWN | blinky1004
   UP | blinky1006
   UP | blinky1005
 DOWN | blinky1008
RIGHT | blinky1005
 LEFT | onlylosers..
   UP | preston_wilson
 DOWN | freakoutpa..
 DOWN | preston_wilson
 DOWN | onlylosers..
   UP | blinky1004
 DOWN | blinky1005
 DOWN | blinky1004
   UP | preston_wilson
RIGHT | blinky1004
 LEFT | blinky1005
   UP | gabriel10293
 DOWN | gabriel10293
 DOWN | blinky1004
RIGHT | freakoutpa..
 DOWN | preston_wilson
   UP | blinky1005
 DOWN | blinky1008
   UP | blinky1004
 DOWN | flyerhm
 DOWN | freakoutpa..
RIGHT | gabriel10293
   UP | freakoutpa..
   UP | onlylosers..
 DOWN | blinky1005
 DOWN | blinky1004
   UP | flyerhm
   UP | blinky1006
RIGHT | onlylosers..
RIGHT | preston_wilson
 LEFT | blinky1005
RIGHT | blinky1004
RIGHT | freakoutpa..
 DOWN | gabriel10293
RIGHT | blinky1006
   UP | freakoutpa..
   UP | preston_wilson
 DOWN | blinky1005
 DOWN | blinky1006
RIGHT | freakoutpa..
RIGHT | blinky1005
   UP | blinky1006
   UP | freakoutpa..
 LEFT | preston_wilson
RIGHT | freakoutpa..
 LEFT | blinky1008
RIGHT | blinky1006
   UP | onlylosers..
   UP | preston_wilson
 DOWN | blinky1008
 LEFT | blinky1005
 DOWN | freakoutpa..
 LEFT | gabriel10293
 LEFT | blinky1006
   UP | flyerhm
 DOWN | gabriel10293
   UP | blinky1005
RIGHT | blinky1008
RIGHT | blinky1004
   UP | blinky1004
RIGHT | preston_wilson
 LEFT | blinky1008
 LEFT | blinky1005
 LEFT | gabriel10293
 DOWN | blinky1005
 DOWN | preston_wilson
   UP | blinky1008
 DOWN | flyerhm
RIGHT | gabriel10293
RIGHT | blinky1006
 DOWN | blinky1004
RIGHT | freakoutpa..
 LEFT | freakoutpa..
RIGHT | preston_wilson
 DOWN | blinky1008
   UP | freakoutpa..
   UP | flyerhm
RIGHT | onlylosers..
 LEFT | preston_wilson
 LEFT | gabriel10293
 DOWN | onlylosers..
 LEFT | blinky1006
 LEFT | blinky1004
   UP | blinky1005
RIGHT | blinky1005
   UP | preston_wilson
 LEFT | freakoutpa..
   UP | blinky1008
RIGHT | blinky1008
 DOWN | gabriel10293
 DOWN | blinky1004
RIGHT | freakoutpa..
   UP | blinky1006
 DOWN | preston_wilson
 DOWN | blinky1005
 LEFT | blinky1005
 LEFT | gabriel10293
 DOWN | flyerhm
   UP | blinky1005
 DOWN | blinky1006
RIGHT | preston_wilson
 DOWN | blinky1004
 DOWN | blinky1008
 DOWN | blinky1005
 DOWN | gabriel10293
   UP | blinky1006
 LEFT | onlylosers..
 LEFT | freakoutpa..
   UP | flyerhm
   UP | preston_wilson
   UP | blinky1004
 LEFT | blinky1006
 LEFT | blinky1005
   UP | gabriel10293
   UP | blinky1006
 DOWN | preston_wilson
 DOWN | freakoutpa..
   UP | blinky1008
RIGHT | blinky1005
 LEFT | gabriel10293
 DOWN | blinky1004
 DOWN | blinky1005
RIGHT | flyerhm
   UP | blinky1004
 DOWN | onlylosers..
 DOWN | blinky1006
 DOWN | gabriel10293
RIGHT | preston_wilson
 LEFT | freakoutpa..
   UP | onlylosers..
 LEFT | blinky1005
 LEFT | blinky1004
 LEFT | blinky1006
   UP | flyerhm
RIGHT | freakoutpa..
 LEFT | freakoutpa..
   UP | freakoutpa..
   UP | gabriel10293
RIGHT | onlylosers..
 LEFT | gabriel10293
RIGHT | freakoutpa..
RIGHT | blinky1005
RIGHT | gabriel10293
   UP | preston_wilson
 LEFT | freakoutpa..
 LEFT | bzuercher
 DOWN | gabriel10293
 DOWN | freakoutpa..
RIGHT | blinky1008
RIGHT | bzuercher
 DOWN | blinky1005
 DOWN | blinky1008
RIGHT | gabriel10293
   UP | blinky1005
 DOWN | gabriel10293
 LEFT | freakoutpa..
 LEFT | blinky1005
RIGHT | blinky1005
   UP | blinky1005
 LEFT | gabriel10293
   UP | blinky1004
 DOWN | freakoutpa..
 DOWN | preston_wilson
RIGHT | blinky1006
RIGHT | freakoutpa..
 LEFT | blinky1008
   UP | preston_wilson
 LEFT | flyerhm
RIGHT | blinky1004
 DOWN | freakoutpa..
   UP | blinky1005
   UP | gabriel10293
 LEFT | preston_wilson
   UP | freakoutpa..
 DOWN | blinky1005
 LEFT | freako..
 LEFT | blinky1005
RIGHT | gabrie..
RIGHT | blinky1006
 DOWN | presto..
RIGHT | blinky1008
   UP | blinky1006
 DOWN | blinky1004
 DOWN | onlylo..
   UP | freako..
 LEFT | blinky1004
RIGHT | flyerhm
 LEFT | freako..
   UP | blinky1008
 DOWN | gabrie..
 LEFT | onlylo..
 LEFT | presto..
RIGHT | onlylo..
RIGHT | freako..
 DOWN | blinky1008
 LEFT | flyerhm
   UP | blinky1004
 LEFT | freako..
 DOWN | blinky1005
   UP | blinky1008
 DOWN | freako..
RIGHT | flyerhm
   UP | onlylo..
   UP | bzuercher
 LEFT | flyerhm
RIGHT | blinky1006
   UP | freako..
   UP | blinky1005
RIGHT | blinky1004
 LEFT | blinky1006
 DOWN | flyerhm
 DOWN | presto..
RIGHT | freako..
 LEFT | blinky1004
 LEFT | blinky1008
 LEFT | blinky1005
 DOWN | gabrie..
RIGHT | blinky1006
   UP | flyerhm
 LEFT | freako..
   UP | blinky1005
RIGHT | blinky1008
   UP | presto..
   UP | blinky1004
   UP | gabrie..
RIGHT | flyerhm
RIGHT | blinky1005
 DOWN | presto..
 DOWN | onlylo..
   UP | blinky1005
RIGHT | freako..
RIGHT | onlylo..
   UP | presto..
RIGHT | gabrie..
 LEFT | blinky1004
   UP | blinky1006
   UP | flyerhm
 LEFT | blinky1008
 DOWN | blinky1005
 LEFT | freako..
 DOWN | blinky1005
 LEFT | blinky1005
RIGHT | blinky1008
 DOWN | blinky1006
 LEFT | flyerhm
 DOWN | blinky1005
   UP | blinky1006
 DOWN | onlylo..
 DOWN | freako..
RIGHT | blinky1005
   UP | blinky1008
RIGHT | blinky1008
 LEFT | freako..
 LEFT | gabrie..
RIGHT | flyerhm
   UP | presto..
   UP | blinky1005
 DOWN | gabrie..
RIGHT | blinky1004
   UP | flyerhm
 DOWN | freako..
RIGHT | onlylo..
RIGHT | seattl..
 LEFT | blinky1005
RIGHT | freako..
 DOWN | flyerhm
   UP | gabrie..
 DOWN | freako..
 LEFT | flyerhm
 DOWN | freako..
   UP | blinky1005
 DOWN | blinky1008
RIGHT | blinky1005
 LEFT | freako..
 LEFT | blinky1005
RIGHT | freako..
   UP | blinky1006
   UP | flyerhm
 DOWN | onlylo..
 LEFT | onlylo..
RIGHT | presto..
RIGHT | blinky1008
 LEFT | blinky1005
 DOWN | blinky1004
 DOWN | freako..
 DOWN | presto..
 DOWN | blinky1008
 LEFT | blinky1008
RIGHT | blinky1005
   UP | blinky1004
RIGHT | freako..
RIGHT | gabrie..
 LEFT | blinky1005
   UP | freako..
RIGHT | seattl..
   UP | blinky1008
 DOWN | blinky1004
 DOWN | blinky1006
RIGHT | freako..
 LEFT | freako..
RIGHT | flyerhm
   UP | presto..
RIGHT | onlylo..
   UP | blinky1005
 LEFT | blinky1008
 LEFT | blinky1006
RIGHT | freako..
 DOWN | blinky1008
RIGHT | seattl..
 LEFT | gabrie..
RIGHT | blinky1005
RIGHT | blinky1004
 DOWN | flyerhm
   UP | blinky1006
 DOWN | presto..
 DOWN | blinky1005
RIGHT | presto..
   UP | blinky1004
RIGHT | blinky1006
 LEFT | freako..
   UP | blinky1008
 LEFT | flyerhm
RIGHT | blinky1008
RIGHT | blinky1005
   UP | freako..
   UP | flyerhm
   UP | blinky1006
   UP | onlylo..
RIGHT | gabrie..
 DOWN | blinky1006
 DOWN | seattl..
 DOWN | onlylo..
   UP | blinky1008
 LEFT | blinky1005
RIGHT | blinky1004
RIGHT | flyerhm
   UP | onlylo..
 LEFT | blinky1008
 LEFT | flyerhm
 DOWN | onlylo..
   UP | blinky1006
 DOWN | freako..
   UP | presto..
 LEFT | onlylo..
   UP | freako..
 DOWN | gabrie..
 DOWN | blinky1008
 DOWN | blinky1005
 LEFT | freako..
RIGHT | onlylo..
