   UP | myklhenn
RIGHT | gabriel10293
 DOWN | freakoutpa..
   UP | blinky1005
RIGHT | flyerhm
   UP | blinky1006
 DOWN | preston_wilson
RIGHT | onlylosers..
RIGHT | blinky1005
 DOWN | blinky1004
 LEFT | flyerhm
 DOWN | gabriel10293
 LEFT | freakoutpa..
 LEFT | blinky1005
 LEFT | blinky1008
   UP | blinky1005
 LEFT | gabriel10293
   UP | freakoutpa..
   UP | gabriel10293
 DOWN | blinky1005
 DOWN | blinky1006
RIGHT | flyerhm
 LEFT | onlylosers..
   UP | preston_wilson
 DOWN | freakoutpa..
   UP | blinky1004
   UP | onlylosers..
 DOWN | preston_wilson
 LEFT | freakoutpa..
   UP | blinky1005
RIGHT | blinky1008
   UP | flyerhm
RIGHT | onlylosers..
RIGHT | freakoutpa..
 LEFT | freakoutpa..
 DOWN | blinky1005
   UP | preston_wilson
   UP | onlylosers..
 LEFT | gabriel10293
 LEFT | blinky1005
RIGHT | blinky1006
 LEFT | flyerhm
   UP | freakoutpa..
 DOWN | preston_wilson
 LEFT | blinky1008
   UP | blinky1005
RIGHT | blinky1008
 DOWN | onlylosers..
 DOWN | blinky1005
 DOWN | blinky1004
   UP | gabriel10293
   UP | onlylosers..
RIGHT | freakoutpa..
 LEFT | blinky1008
 DOWN | gabriel10293
 LEFT | blinky1004
RIGHT | flyerhm
 DOWN | blinky1008
RIGHT | blinky1005
RIGHT | blinky1004
   UP | flyerhm
   UP | gabriel10293
   UP | preston_wilson
 LEFT | blinky1008
   UP | blinky1004
   UP | blinky1006
 DOWN | onlylosers..
   UP | freakoutpa..
   UP | blinky1005
 LEFT | blinky1004
 DOWN | flyerhm
RIGHT | freakoutpa..
 DOWN | blinky1005
 LEFT | flyerhm
 DOWN | freakoutpa..
RIGHT | preston_wilson
   UP | blinky1005
 DOWN | blinky1006
   UP | onlylosers..
 LEFT | freakoutpa..
   UP | blinky1006
RIGHT | flyerhm
   UP | freakoutpa..
RIGHT | blinky1004
